id;invoice_id;item_type;product_id;item_name;serial_imei;ram;storage;quantity;unit_price;cost_price;total_price;created_at;hsn_code;description;spare_part_id
e44e1db1-5e5b-4cc4-bb2b-e95b0abe3d52;a7b23149-b738-458b-9ede-435121b9fb71;inventory;c9425cad-dd3b-4df9-b5d0-a9d147091656;HP H200 Wireless Headset;H200240807537;;;1;1299;973;1299;2026-05-26 10:20:23.778286+00;85183019;;
afe39baf-bfe1-46f6-81d3-b9507ca4b97d;5ee5461c-a836-4d81-a4e2-97b02fc54b9a;spare_part;;Laptop Speaker;;;;1;2500;1003;2500;2026-05-27 14:19:51.091733+00;85182900;3 months Warranty;
12e1ac51-75a8-4073-8143-6ef1a69756a7;5ee5461c-a836-4d81-a4e2-97b02fc54b9a;service;;Labor / Service Charges;;;;1;354;0;354;2026-05-27 14:19:51.091733+00;998873;;
0b6dd93e-570a-4e56-8f7a-bab30d6bf054;b7a4fa09-4600-444f-a869-2785501e532a;service;;Labor / Service Charges;;;;1;999;0;999;2026-04-26 10:10:00.98487+00;998873;;
69d55a5d-7cf2-4f07-b495-f3cc8d24693f;9382ce0e-2f1d-48e1-81df-abc35c64a6b9;spare_part;;Laptop Plamrest + Keyboard;;;;2;4100;1770;8200;2026-04-27 15:19:36.073916+00;84733099;;
af64f2c3-19a1-4332-bdaf-c9c8ba8b669d;121f864d-dd33-47f2-8e83-1b72fd758259;service;;Labor / Service Charges;;;;1;999;0;999;2026-04-27 15:29:13.04203+00;998873;;
1cc9e9c3-704b-45b5-ae1a-1062128be74e;3005c698-e625-4e04-9785-900c94c8d0e4;spare_part;;Laptop Battery;;;;1;2300;1652;2300;2026-04-28 14:26:20.346816+00;85076000;6month warranty;
3bb4aa8a-5d5e-4200-b0b9-799a95e50ec2;f279dd5b-08a5-45da-a0db-7d6a688caaba;spare_part;;Lenovo 45W Adapter;;;;1;1900;974;1900;2026-04-28 14:31:11.342988+00;85044090;;
77934df8-2e14-4c15-8eaf-9594b263d526;47ea3664-a0e1-43a0-abc0-fa390fffcc5f;spare_part;;EVM SSD 256GB SATA;;;;1;7000;3717;7000;2026-04-28 14:38:54.467998+00;85235100;ES2SC062526084;
ee0c27ce-4642-4447-a9c7-372454e61345;47ea3664-a0e1-43a0-abc0-fa390fffcc5f;spare_part;;Laptop RAM 8GB PC3L;;;;1;4500;1829;4500;2026-04-28 14:38:54.467998+00;84733030;;
218b01f9-8bed-4478-b31b-57237c2337cb;95006fa5-2338-4479-8cc4-c3299cce764b;inventory;a8837801-abf6-433e-9447-aef70515cc8e;iPhone 17 Pro;J0LXTJ4HV9;12GB;256GB;1;121500;116000;121500;2026-04-29 07:48:26.168719+00;;;
41e37df2-27d5-42b1-b1d9-ad3acc9d728d;360ebfd1-8754-4549-a4e1-9605d1c7756e;spare_part;;Dell DC Jack;;;;1;1500;295;1500;2026-05-05 10:59:31.397826+00;85444299;;
4a337150-36e6-4a3c-9382-95a526c65113;360ebfd1-8754-4549-a4e1-9605d1c7756e;spare_part;;Laptop Keyboard;;;;1;2200;767;2200;2026-05-05 10:59:31.397826+00;84716040;;
4b0f003c-222a-49b5-980f-19781634f65e;e7b3aaf6-0637-41f2-a78f-dc83666ff552;manual;;QuickHeal Essential Security;;;;1;850;0;850;2026-05-13 08:11:33.46342+00;;;
60e7f675-a1d6-4f9a-8ae0-5f05fe6dcd65;e7b3aaf6-0637-41f2-a78f-dc83666ff552;manual;;ST & LT Bag;;;;1;800;0;800;2026-05-13 08:11:33.46342+00;;;
6eb5c277-ad7b-4daa-a3c5-37452dc80587;cfcde8ea-16c7-40a9-b04c-5070b302366a;inventory;5838aa54-895b-4d87-bdaa-d5382959439d;Dell Latitude 5420;519JXD3;8GB;256GB;1;25500;23250;25500;2026-05-16 08:33:48.323596+00;;;
dd431dd9-d170-4981-bacb-7df5e50c63dd;cfcde8ea-16c7-40a9-b04c-5070b302366a;inventory;702c9920-ac00-4d7a-b6ab-ee2de285d800;Dell Latitude 5420;1RCJXD3;8GB;256GB;1;25500;23250;25500;2026-05-16 08:33:48.323596+00;;;
18631ada-d5b3-4e3a-87b9-950fdf3a365f;76fd9070-1235-4484-8435-e013f98cf1b3;inventory;689a6ba0-66ac-4207-be19-33520cf15996;Lenovo ThinkPad X13 Gen 2;PC2K19YM;16GB;256GB;1;31000;22800;31000;2026-05-16 14:29:45.550445+00;;;
f25541d9-dae7-4cf0-a9e2-c496d5f8a86d;76fd9070-1235-4484-8435-e013f98cf1b3;inventory;4b77e2ed-f502-4f1a-92a7-60fc2f496972;Lenovo 130 Ambidextrous Optical Mouse Wireless;GY51C12380Z15NA6LG;;;1;599;496;599;2026-05-16 14:29:45.550445+00;84716060;;
33409d4a-0c52-4142-865c-317bc0d010c9;e27d6ddf-98d6-4a82-a68a-413225fee03b;inventory;72846d41-3b53-4247-81d6-a7b2d9c057e5;MacBook Air M1;FVFGQ6M8Q6LR;;256GB;1;26000;24000;26000;2026-05-18 14:38:35.608816+00;;;
771545bc-3524-45c2-a6ea-4f2e436d3e6e;e27d6ddf-98d6-4a82-a68a-413225fee03b;inventory;b0ac9873-6336-48a1-aa99-ca4b40eb69ca;MacBook Air M1;FVFGP6TYQ6LR;;256GB;1;26000;24000;26000;2026-05-18 14:38:35.608816+00;;;
5ede0ac2-e8fb-4de9-b252-a386b8d90142;e27d6ddf-98d6-4a82-a68a-413225fee03b;inventory;6859e3b5-8044-418c-8156-8775ff56a277;MacBook Air M1;FVEGF2YZQ6LR;;256GB;1;26000;24000;26000;2026-05-18 14:38:35.608816+00;;;
f460edc5-850e-4162-8a0f-3336477b949d;e27d6ddf-98d6-4a82-a68a-413225fee03b;inventory;42671a22-1ada-4496-bc08-a584873f2a02;MacBook Air M1;FVFHKOCGQ6LR;;256GB;1;26000;24000;26000;2026-05-18 14:38:35.608816+00;;;
fa7f0e15-6e55-42da-a530-2c4e7d8162fd;e27d6ddf-98d6-4a82-a68a-413225fee03b;inventory;1b7c37e8-f794-4567-817e-2bbd8b8538a0;MacBook Air M1;FVFGW057Q6LR;;256GB;1;26000;24000;26000;2026-05-18 14:38:35.608816+00;;;
d5e983c2-030e-4014-b102-c59168aa0211;e27d6ddf-98d6-4a82-a68a-413225fee03b;inventory;9804fced-f9f9-427d-95e1-c334fca94860;MacBook Air M1;FVFGW0GBQ6LR;;256GB;1;26000;24000;26000;2026-05-18 14:38:35.608816+00;;;
759af816-613e-4bfe-bd34-1fb4d3b1d06b;e27d6ddf-98d6-4a82-a68a-413225fee03b;inventory;852823b1-6e66-4885-a26f-6dd02c901abb;MacBook Air M1;FVFGP73RQ6LR;;256GB;1;26000;24000;26000;2026-05-18 14:38:35.608816+00;;;
9c6df0f3-dd1a-4a7f-ad4d-b48f2d9d349d;e27d6ddf-98d6-4a82-a68a-413225fee03b;inventory;60a0cfb3-462d-430d-84a8-7d4c398b3e84;MacBook Air M1;FVFGQ61WQ6LR;;256GB;1;26500;24000;26500;2026-05-18 14:38:35.608816+00;;;
eff62040-bf51-4275-a3c8-4269fbca06b5;91f4a9cf-be3c-412c-b004-4895f57eef23;service;;Labor / Service Charges;;;;1;999;0;999;2026-06-04 07:00:00.942243+00;998873;;
a580d05a-eed1-464f-bdbb-746fdde135fe;067e7380-a545-4c2b-a204-5a1600df3507;spare_part;;Lenovo Battery;;;;1;3800;1239;3800;2026-06-04 09:14:16.490678+00;85076000;;
53035494-a723-4f79-9b71-b905c07422e0;a0c9f711-5e28-4101-a1ca-baae1618da26;spare_part;;Laptop Battery;;;;2;3300;1593;6600;2026-06-04 13:28:05.373354+00;85076000;PF2VACEG;
7166b8a7-2409-4526-a521-5426eff190e3;a0c9f711-5e28-4101-a1ca-baae1618da26;spare_part;;Laptop Battery;;;;30;3300;1593;99000;2026-06-04 13:28:05.373354+00;85076000;;c0ef1267-731a-4339-9115-26e2bed4f3b8
637c151f-b87f-409c-9865-38257925bb4c;2962d3c7-57cd-4e0c-8c71-188bf1650591;inventory;a183a201-f125-4276-9c2c-beac128e3c53;ThinkPad P14s;PF22E40Z;8GB;256GB;1;27500;25000;27500;2026-06-06 14:24:23.395178+00;;;
2a82cefc-af14-4f47-84cb-6bcc50f7b60a;2962d3c7-57cd-4e0c-8c71-188bf1650591;inventory;37f6c24e-c61d-46e4-b727-580457468ac6;Quick Heal Essential;E25-ler1-34762;;;1;300;260;300;2026-06-06 14:24:23.395178+00;85238020;;
4d2aa250-d908-4ecc-a4c3-c12ffc7382d0;2962d3c7-57cd-4e0c-8c71-188bf1650591;inventory;4dd14c3e-7509-48e5-8956-bd833e8df93b;STOLT Laptop Bag;21;;;1;0;0;0;2026-06-06 14:24:23.395178+00;;;
b1e4c4b1-4ff0-4fef-b7c1-70f3af2ac4cf;2962d3c7-57cd-4e0c-8c71-188bf1650591;inventory;0184333a-0af2-482d-8883-9f36d7ffc040;HP KM260 Keyboard Mouse Combo;KM260250117268;;;1;1200;826;1200;2026-06-06 14:24:23.395178+00;84716040;;
1afde741-3325-4fe8-83a7-0f6ab5173632;d021335d-092f-4654-bdcb-600f1d7c9c44;inventory;a809de39-3fdb-454a-8ee8-b46b370b746c;Quick Heal Essential;E25-/er1-33801;;;1;850;260;850;2026-06-07 04:32:05.88788+00;85238020;;
9ca9354f-6fbc-4716-8bfc-54f228472ee2;d021335d-092f-4654-bdcb-600f1d7c9c44;inventory;33b4b662-f617-4c0f-a695-82aefa4a5b39;STOLT Laptop Bag;32;;;1;800;0;800;2026-06-07 04:32:05.88788+00;;;
ad99a3bd-1afb-40d6-bc89-d227573d4655;2276d318-029e-4684-adca-3c96b94a90e8;service;;Labor / Service Charges;;;;1;999;0;999;2026-06-08 05:37:59.322962+00;998873;;
44b635c4-5511-44de-bd84-976f65093e96;b7267f8d-46d7-406c-a2dd-7c24536d93e4;service;;Labor / Service Charges;;;;1;499;0;499;2026-06-08 11:11:58.739952+00;998873;;
14d3c00c-2308-4786-8c56-06010ddcb600;d3d7628b-36e1-4047-bf1a-65cace7b8c41;service;;Labor / Service Charges;;;;1;6500;0;6500;2026-06-08 12:56:48.4401+00;998873;;
b756faa2-f17c-4fad-aec6-be9da8f9a57e;c03ba4ce-ecd2-4ce0-9bf8-55e6730f4e96;service;;Labor / Service Charges;;;;1;999;0;999;2026-06-08 13:49:40.273575+00;998873;;
d1858ece-3e23-4184-99da-b8b893a0d268;0d97bc7e-d05c-4156-9b58-a9b100d06aeb;service;;Labor / Service Charges;;;;1;999;0;999;2026-06-08 14:12:31.792516+00;998873;;
35b90643-10d0-48dc-98f9-381896b4d3ab;871842e6-f8b3-4347-ac19-5d7d5038b2ae;spare_part;;HP Laptop Battery;;;;1;3300;1062;3300;2026-06-11 11:08:18.96462+00;85076000;;
ca51c87b-2eeb-4e8b-bc11-6d902b021817;871842e6-f8b3-4347-ac19-5d7d5038b2ae;spare_part;;SSD 256GB SATA;;;;1;5200;3127;5200;2026-06-11 11:08:18.96462+00;85235100;;
c93b0e83-fefe-40f3-99f1-946e7792800c;84b76905-d92f-47e1-afb9-e3e137c2be24;spare_part;;HP Laptop Battery;EL04XL;;;1;3300;1770;3300;2026-06-16 07:45:29.041903+00;85076000;Part #: EL04XL;a57c38e4-7bc3-4c3f-8bb8-47ea2b0241a1
28c883eb-c6df-4fdc-bf99-0d78534e0b14;082702f7-d5e4-4d7b-ad09-0845e3d5d6bc;service;;Labor / Service Charges;;;;1;999;0;999;2026-06-16 12:31:14.785703+00;998873;;
e0423296-3f8f-456f-99a3-e6e87969de00;4cc78d76-fbe6-4349-887e-420cf49b1d10;service;;Labor / Service Charges;;;;1;3100;0;3100;2026-06-18 14:03:46.985951+00;998873;;
9096670a-6ff9-4dfd-bfb9-5531280163eb;f888e1fe-185d-462e-91b2-3fddf6a44400;inventory;9b693e5b-5dc4-4c75-a65d-1dce3f713952;Boat Rockerz Prime 210ANC;8905650116168;;;1;1500;1195;1500;2026-06-22 14:06:51.01293+00;;;
8a708844-06f1-4899-b695-61876c73ed0d;ae5eff95-a90c-45c1-b114-858365170a00;inventory;d5caeb6d-1af7-4e93-b92e-0e97fcd48781;boat ROCKERZ ZEN ANC;8905650126259;;;1;1250;1149;1250;2026-06-22 14:36:53.172867+00;;;
