id;user_id;name;category;brand;serial_imei;ram;storage;condition;purchase_price;selling_price;battery_health;warranty_expiry;notes;status;is_public;image_url;created_at;updated_at;device_age_value;device_age_unit;has_original_bill;has_original_box;is_global_variant;description;video_url;key_highlights;hsn_code;vendor_id;vendor_invoice_no;purchase_date;tenant_id;created_by
a183a201-f125-4276-9c2c-beac128e3c53;a24f0333-9056-4c23-893b-8acbc1c57ec1;ThinkPad P14s;Laptop;Lenovo;PF22E40Z;8GB;256GB;Used;25000.00;28500.00;;;;Sold;false;;2026-06-06 13:06:58.340475+00;2026-06-06 14:24:23.761855+00;;Months;false;false;false;;;;;ca35448d-df62-4e9c-a736-aa5f7792966c;;;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1
620431a7-643a-4b0a-8448-52e5cbb00e23;a24f0333-9056-4c23-893b-8acbc1c57ec1;Quick Heal Essential;Accessory;Quick Heal;E25-/er1-34766;;;New;260.00;600.00;;;;Sold;false;https://wgzfsllyrdxokydsrtxl.supabase.co/storage/v1/object/public/product-images/a24f0333-9056-4c23-893b-8acbc1c57ec1/0e64d61b-78e6-410b-b6a0-f1ee949e01ec/1be30602-e524-4ffe-9987-e726fad21a1d.JPG;2026-05-26 08:27:42.704587+00;2026-07-01 12:23:27.670651+00;;Months;false;false;false;;;;85238020;44b55c8e-5d38-4c05-bfb1-fe5085efdca3;GST/0119/2026-27;2026-05-13;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1
a8837801-abf6-433e-9447-aef70515cc8e;a24f0333-9056-4c23-893b-8acbc1c57ec1;iPhone 17 Pro;Phone;Apple;J0LXTJ4HV9;12GB;256GB;New;116000.00;122000.00;100;9999-12-31;;Sold;false;https://wgzfsllyrdxokydsrtxl.supabase.co/storage/v1/object/public/product-images/a24f0333-9056-4c23-893b-8acbc1c57ec1/a8837801-abf6-433e-9447-aef70515cc8e/71850102-9b82-4bad-8ce5-dbfa9442ba8a.jpg,https://wgzfsllyrdxokydsrtxl.supabase.co/storage/v1/object/public/product-images/a24f0333-9056-4c23-893b-8acbc1c57ec1/a8837801-abf6-433e-9447-aef70515cc8e/b9bc0d55-8398-4938-a3c4-13c44a3dbabc.jpg;2026-04-28 11:39:52.22338+00;2026-04-29 07:39:46.186518+00;;Months;false;false;true;;;;;ca35448d-df62-4e9c-a736-aa5f7792966c;;2026-04-28;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1
60a0cfb3-462d-430d-84a8-7d4c398b3e84;a24f0333-9056-4c23-893b-8acbc1c57ec1;MacBook Air M1;Laptop;Apple;FVFGQ61WQ6LR;;256GB;Used;24000.00;26500.00;;;;Sold;false;;2026-05-16 09:24:16.098487+00;2026-05-18 14:38:36.055793+00;;Months;false;false;false;;;;;58e5b5e4-a6ee-4294-bc63-7a629f76ae71;;;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1
87a0276a-4ce6-43a5-9800-38bd7be3d7af;a24f0333-9056-4c23-893b-8acbc1c57ec1;Quick Heal Essential;Accessory;Quick Heal;E25-ler1-34764;;;New;260.00;600.00;;;;In Stock;false;https://wgzfsllyrdxokydsrtxl.supabase.co/storage/v1/object/public/product-images/a24f0333-9056-4c23-893b-8acbc1c57ec1/0e64d61b-78e6-410b-b6a0-f1ee949e01ec/1be30602-e524-4ffe-9987-e726fad21a1d.JPG;2026-05-26 08:27:42.704587+00;2026-05-26 08:27:42.704587+00;;Months;false;false;false;;;;85238020;44b55c8e-5d38-4c05-bfb1-fe5085efdca3;GST/0119/2026-27;2026-05-13;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1
a75fb5af-919b-4e61-824b-7390cae93733;a24f0333-9056-4c23-893b-8acbc1c57ec1;HP KM160 Wired Mouse and Keyboard Wired USB;Accessory;HP;KM160250206618;;;New;590.00;999.00;;9999-12-31;;In Stock;true;https://wgzfsllyrdxokydsrtxl.supabase.co/storage/v1/object/public/product-images/a24f0333-9056-4c23-893b-8acbc1c57ec1/313b9a4c-fed8-4585-a08c-dcd3f918095e/391dc2b1-f4c5-496c-a578-4f146d4bcb9c.webp;2026-05-12 13:08:36.87602+00;2026-06-04 08:08:55.006593+00;;Months;false;false;false;HP KM160 Wired Mouse and Keyboard Wired USB Standard Multi-device Keyboard Compatible with Desktop, Laptop, Mac (Black);;;84716040;65e35860-b717-4057-bb67-1fd41c39150c;IIS/24-25/0052;2026-05-21;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1
8e6143f0-cec3-4f1b-b175-0c08af4a85d4;a24f0333-9056-4c23-893b-8acbc1c57ec1;STOLT Laptop Bag;Accessory;STOLT Basics;12;;;New;0.00;799.00;;;;In Stock;false;;2026-06-06 13:14:10.266036+00;2026-06-06 13:14:50.251823+00;;Months;false;false;false;;;;;ca35448d-df62-4e9c-a736-aa5f7792966c;;;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1
4dd14c3e-7509-48e5-8956-bd833e8df93b;a24f0333-9056-4c23-893b-8acbc1c57ec1;STOLT Laptop Bag;Accessory;STOLT Basics;21;;;New;0.00;799.00;;;;Sold;false;;2026-06-06 13:14:10.266036+00;2026-06-06 14:24:24.413279+00;;Months;false;false;false;;;;;ca35448d-df62-4e9c-a736-aa5f7792966c;;;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1
33b4b662-f617-4c0f-a695-82aefa4a5b39;a24f0333-9056-4c23-893b-8acbc1c57ec1;STOLT Laptop Bag;Accessory;STOLT Basics;32;;;New;0.00;799.00;;;;Sold;false;;2026-06-06 13:14:10.266036+00;2026-06-07 04:32:06.897739+00;;Months;false;false;false;;;;;ca35448d-df62-4e9c-a736-aa5f7792966c;;;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1
be7e3398-c831-4a83-8729-a6d108b5642d;a24f0333-9056-4c23-893b-8acbc1c57ec1;Quick Heal Essential;Accessory;Quick Heal;E25-ler1-34767;;;New;260.00;600.00;;;;In Stock;false;https://wgzfsllyrdxokydsrtxl.supabase.co/storage/v1/object/public/product-images/a24f0333-9056-4c23-893b-8acbc1c57ec1/0e64d61b-78e6-410b-b6a0-f1ee949e01ec/1be30602-e524-4ffe-9987-e726fad21a1d.JPG;2026-05-26 08:27:42.704587+00;2026-05-26 08:27:42.704587+00;;Months;false;false;false;;;;85238020;44b55c8e-5d38-4c05-bfb1-fe5085efdca3;GST/0119/2026-27;2026-05-13;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1
