id;purchase_id;vendor_id;tenant_id;user_id;created_by;amount;payment_date;mode;reference_no;notes;created_at
818e46c4-2d9c-4bfc-a136-44b9f8922b8f;c9ee153c-7b34-4585-a72c-236c09392756;bd81829d-c727-4d37-b8d9-f843e6a0fcf5;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;a24f0333-9056-4c23-893b-8acbc1c57ec1;13924;2026-06-04;Bank Transfer;;;2026-06-04 14:02:26.176624+00
92093f3f-baf1-421c-b702-94480eb5d5b8;9318bdca-58e3-4936-97ce-321a44f077a0;bd81829d-c727-4d37-b8d9-f843e6a0fcf5;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;a24f0333-9056-4c23-893b-8acbc1c57ec1;1062;2026-06-04;Bank Transfer;;;2026-06-04 14:02:54.998279+00
b9540133-373b-44b1-856b-7c8080b40f63;011b9045-37a4-450a-aa3a-285b61c81914;bd81829d-c727-4d37-b8d9-f843e6a0fcf5;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;a24f0333-9056-4c23-893b-8acbc1c57ec1;974;2026-06-05;Bank Transfer;;;2026-06-05 06:20:53.823834+00
614e97f4-a508-42b6-8510-27d729e0f757;3f14a0f0-9d3b-41dd-a192-ca04b2cd0c52;65e35860-b717-4057-bb67-1fd41c39150c;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;a24f0333-9056-4c23-893b-8acbc1c57ec1;140670;2026-06-05;Bank Transfer;;;2026-06-05 06:21:42.150042+00
b4a74856-5185-463f-9cb3-3761618786e6;5543f1d6-3bfa-4965-9229-448cb8d4eeab;bd81829d-c727-4d37-b8d9-f843e6a0fcf5;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;a24f0333-9056-4c23-893b-8acbc1c57ec1;7021;2026-06-05;Bank Transfer;;;2026-06-05 06:22:00.118049+00
6fdd24d6-b696-48a3-ac63-822766bda32e;42b487ff-2cf4-4547-9aa6-59895e966afd;bd81829d-c727-4d37-b8d9-f843e6a0fcf5;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;a24f0333-9056-4c23-893b-8acbc1c57ec1;47790;2026-06-05;Bank Transfer;;;2026-06-05 06:22:17.887305+00
dcc3d5b2-61e2-47f3-adeb-2dfefb69d90b;26e18af4-7e80-4e90-922d-e70861e9d40c;44b55c8e-5d38-4c05-bfb1-fe5085efdca3;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;a24f0333-9056-4c23-893b-8acbc1c57ec1;8822;2026-06-05;Bank Transfer;;;2026-06-05 06:22:35.429657+00
59e33acf-5c5c-4f0c-a98f-49b2194b61c4;192b5565-1702-45d1-9baf-1d0faba2c2b1;bd81829d-c727-4d37-b8d9-f843e6a0fcf5;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;a24f0333-9056-4c23-893b-8acbc1c57ec1;1003;2026-06-05;Bank Transfer;;;2026-06-05 06:26:52.296088+00
382e7946-bf9e-4de8-8196-c381399550c6;0027daea-3678-4d8d-8a40-03ed9671f905;a222aa83-9ba5-4c75-87ad-17af8284118c;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;a24f0333-9056-4c23-893b-8acbc1c57ec1;668;2026-06-22;Cash;;;2026-06-24 09:32:39.987597+00
b250811c-e6a1-4687-bde0-3fc5fdb4ec24;22d3c6c9-5fb6-4229-816c-5def2012d9c2;19b12fc0-f9bc-4959-9de7-3fb694a10b31;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;a24f0333-9056-4c23-893b-8acbc1c57ec1;4189;2026-06-24;Bank Transfer;;;2026-06-24 09:33:47.735379+00
5b367e8c-d22f-4424-b10f-d39c8df7897b;2f2e4e3d-d023-4a68-87d6-831f38e5df98;19b12fc0-f9bc-4959-9de7-3fb694a10b31;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;a24f0333-9056-4c23-893b-8acbc1c57ec1;1770;2026-06-24;Bank Transfer;;;2026-06-24 09:34:00.634237+00
