id;purchase_number;vendor_id;supplier_invoice_no;purchase_date;payment_status;total_taxable_value;total_gst;grand_total;notes;tenant_id;user_id;created_by;created_at;updated_at;purchase_kind
a324c2e3-33b8-4a18-9d77-fcc10e0342a0;OG-PUR-00022;bd81829d-c727-4d37-b8d9-f843e6a0fcf5;JST/26-27/15040;2026-07-23;Pending;413;0;413;;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;;2026-07-29 12:10:06.836309+00;2026-07-29 12:10:06.836309+00;inventory
aecf2d2f-48a7-48f9-8027-54c0ed7f920a;OG-PUR-00013;bd81829d-c727-4d37-b8d9-f843e6a0fcf5;JST/26-27/2019;2026-04-17;Paid;1900;342;2242;;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;a24f0333-9056-4c23-893b-8acbc1c57ec1;2026-06-04 13:39:45.048438+00;2026-06-04 13:39:45.048438+00;expense
bf80cb3d-ba5a-4313-93c0-570ab1c08ef6;OG-PUR-00014;bd81829d-c727-4d37-b8d9-f843e6a0fcf5;JST/26-27/2018;2026-04-17;Paid;60;10.799999999999999;70.8;;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;a24f0333-9056-4c23-893b-8acbc1c57ec1;2026-06-04 13:52:28.054749+00;2026-06-04 13:52:28.054749+00;expense
c9ee153c-7b34-4585-a72c-236c09392756;OG-PUR-00012;bd81829d-c727-4d37-b8d9-f843e6a0fcf5;JST/26-27/1745;2026-04-14;Paid;13924;0.00000000000000000000;13924.00000000000000000000;;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;;2026-06-04 09:59:52.954676+00;2026-06-04 14:02:26.6013+00;inventory
9318bdca-58e3-4936-97ce-321a44f077a0;OG-PUR-00010;bd81829d-c727-4d37-b8d9-f843e6a0fcf5;JST/26-27/3915;2026-05-04;Paid;1062;0;1062;;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;;2026-06-04 09:36:17.365011+00;2026-06-04 14:02:55.680703+00;inventory
60985705-5a5a-482d-8f14-30bf9c1516a1;OG-PUR-00015;133cf986-4f4f-47b9-a013-7d89da83cb58;MCI/527/26-27;2026-06-04;Paid;4700;846;5546;;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;a24f0333-9056-4c23-893b-8acbc1c57ec1;2026-06-04 14:51:55.364372+00;2026-06-04 14:51:55.364372+00;expense
011b9045-37a4-450a-aa3a-285b61c81914;OG-PUR-00005;bd81829d-c727-4d37-b8d9-f843e6a0fcf5;JST/26-27/2018;2026-04-17;Paid;974;0;974;;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;;2026-06-04 09:36:17.365011+00;2026-06-05 06:20:54.072078+00;inventory
3f14a0f0-9d3b-41dd-a192-ca04b2cd0c52;OG-PUR-00001;65e35860-b717-4057-bb67-1fd41c39150c;IIS/24-25/0052;2026-04-11;Paid;140670.00;0;140670.00;Historical bill synced from existing inventory;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;a24f0333-9056-4c23-893b-8acbc1c57ec1;2026-05-18 15:37:13.255394+00;2026-06-05 06:21:42.445848+00;inventory
5543f1d6-3bfa-4965-9229-448cb8d4eeab;OG-PUR-00008;bd81829d-c727-4d37-b8d9-f843e6a0fcf5;JST/26-27/4718;2026-04-14;Paid;7021;0;7021;;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;;2026-06-04 09:36:17.365011+00;2026-06-05 06:22:00.385877+00;inventory
42b487ff-2cf4-4547-9aa6-59895e966afd;OG-PUR-00009;bd81829d-c727-4d37-b8d9-f843e6a0fcf5;JST/26-27/1746;2026-04-14;Paid;47790;0.00000000000000000000;47790.00000000000000000000;;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;;2026-06-04 09:36:17.365011+00;2026-06-05 06:22:18.383842+00;inventory
26e18af4-7e80-4e90-922d-e70861e9d40c;OG-PUR-00004;44b55c8e-5d38-4c05-bfb1-fe5085efdca3;GST/0119/2026-27;2026-05-13;Paid;8822.00;0;8822.00;;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;;2026-06-04 09:36:17.365011+00;2026-06-05 06:22:35.843985+00;inventory
192b5565-1702-45d1-9baf-1d0faba2c2b1;OG-PUR-00011;bd81829d-c727-4d37-b8d9-f843e6a0fcf5;JST/26-27/6805;2026-05-27;Paid;1003;0;1003;;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;;2026-06-04 09:36:17.365011+00;2026-06-05 06:26:52.690264+00;inventory
0027daea-3678-4d8d-8a40-03ed9671f905;OG-PUR-00018;a222aa83-9ba5-4c75-87ad-17af8284118c;AARYA3649/26-27;2026-06-22;Paid;668;0;668;;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;;2026-06-23 07:59:08.949074+00;2026-06-24 09:32:41.006555+00;inventory
22d3c6c9-5fb6-4229-816c-5def2012d9c2;OG-PUR-00017;19b12fc0-f9bc-4959-9de7-3fb694a10b31;PCL26-27/440;2026-06-06;Paid;4189;0;4189;;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;;2026-06-11 10:50:21.272147+00;2026-06-24 09:33:48.243867+00;inventory
2f2e4e3d-d023-4a68-87d6-831f38e5df98;OG-PUR-00016;19b12fc0-f9bc-4959-9de7-3fb694a10b31;PCL26-27/432;2026-06-06;Paid;1770;0;1770;;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;;2026-06-11 06:51:14.626957+00;2026-06-24 09:34:00.95289+00;inventory
89ea02bc-56c1-48c4-8074-d4ef99da35f0;OG-PUR-00019;a222aa83-9ba5-4c75-87ad-17af8284118c;AARYA3650/26-27;2026-06-22;Paid;750;135;885;;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;a24f0333-9056-4c23-893b-8acbc1c57ec1;2026-06-24 09:37:10.411303+00;2026-06-24 09:37:10.411303+00;expense
d3cf9d13-7ef5-4dfd-af1c-bb62ee2c257c;OG-PUR-00020;4f39516e-b4cf-43af-957d-2f609ee48351;AC282;2026-07-21;Pending;32680;0;32680;;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;;2026-07-23 09:54:17.986221+00;2026-07-23 09:56:23.479342+00;inventory
d1389442-de48-4e18-95b2-11f5df52eb1b;OG-PUR-00021;4f39516e-b4cf-43af-957d-2f609ee48351;AC283;2026-07-22;Pending;26845;0;26845;;3af5d475-8eaa-4130-a8b5-5253b8f478f8;a24f0333-9056-4c23-893b-8acbc1c57ec1;;2026-07-23 10:27:17.834117+00;2026-07-23 10:27:17.834117+00;inventory
